time,lon,lat
20190808_003339,-58.0002,50.2533
20190808_013937,-58.0117,50.254
20190808_023959,-58.0236,50.2547
20190808_034121,-58.0357,50.2553
20190808_045302,-58.0452,50.2568
20190808_055806,-58.0576,50.2569
20190808_070104,-58.0705,50.2569
20190808_080202,-58.083,50.2569
20190808_090059,-58.0901,50.2583
20190808_100853,-58.1043,50.2578
20190808_111101,-58.1185,50.2569
20190808_120727,-58.1315,50.2562
20190808_131320,-58.1378,50.2563
20190808_143618,-58.1464,50.2494
20190808_155108,-58.1549,50.2428
20190808_170332,-58.1632,50.2365
20190808_175843,-58.1618,50.2379
20190808_191917,-58.1697,50.2306
20190808_203047,-58.1774,50.2237
20190808_214233,-58.1851,50.2167
20190808_221925,-58.1869,50.2146
20190808_234712,-58.195,50.2058
20190809_010037,-58.2022,50.1982
20190809_023635,-58.2116,50.1904
20190809_035542,-58.2165,50.1832
20190809_050725,-58.2208,50.1763
20190809_062905,-58.2252,50.1699
20190809_074905,-58.2315,50.163
20190809_090203,-58.2378,50.1566
20190809_101108,-58.2438,50.1505
20190809_103109,-58.2444,50.1491
20190809_115018,-58.2485,50.1419
20190809_131013,-58.2528,50.1341
20190809_144004,-58.2599,50.1255
20190809_155620,-58.2609,50.1172
20190809_170250,-58.2613,50.1097
20190809_180521,-58.2617,50.1027
20190809_191153,-58.2589,50.0992
20190809_202029,-58.265,50.0942
20190809_211935,-58.2717,50.089
20190809_221522,-58.278,50.0841
20190809_230925,-58.2841,50.0794
20190810_001506,-58.2899,50.0735
20190810_011237,-58.2986,50.0679
20190810_020813,-58.3069,50.0625
20190810_024913,-58.3131,50.0585
20190810_033323,-58.3183,50.0546
20190810_043446,-58.3254,50.049
20190810_052828,-58.3322,50.0442
20190810_061437,-58.3381,50.04
20190810_070537,-58.3446,50.0354
20190810_072305,-58.3464,50.0345
20190810_075659,-58.3511,50.0313
20190810_085159,-58.3586,50.0261
20190810_093926,-58.365,50.0216
20190810_103027,-58.372,50.0168
20190810_112939,-58.3791,50.0126
20190810_122648,-58.3875,50.0073
20190810_131704,-58.3962,50.0017
20190810_141112,-58.4055,49.9957
20190810_150134,-58.4142,49.9902
20190810_152635,-58.4167,49.9878
20190810_162508,-58.4242,49.9818
20190810_171951,-58.4322,49.9761
20190810_180542,-58.439,49.9712
20190810_185704,-58.4466,49.9658
20190810_194513,-58.4503,49.9607
20190810_204436,-58.4393,49.9669
20190810_213849,-58.4288,49.9731
20190810_222121,-58.4205,49.9779
20190810_230831,-58.4113,49.9833
20190811_001357,-58.4046,49.9903
20190811_010255,-58.3982,49.995
20190811_015723,-58.3893,50.0008
20190811_024212,-58.382,50.0056
20190811_033349,-58.3736,50.0112
20190811_040918,-58.3673,50.0167
20190811_051000,-58.3755,50.0119
20190811_060300,-58.3835,50.0071
20190811_065158,-58.3909,50.0027
20190811_074345,-58.3987,49.998
20190811_083016,-58.4039,49.9937
20190811_091859,-58.4099,49.9893
20190811_101117,-58.4172,49.9846
20190811_110035,-58.4241,49.9802
20190811_115323,-58.4315,49.9755
20190811_122550,-58.4361,49.9727
20190811_132353,-58.4444,49.9659
20190811_141652,-58.4519,49.9596
20190811_145833,-58.4579,49.9546
20190811_153939,-58.4637,49.9497
20190811_163530,-58.4705,49.9458
20190811_173322,-58.4781,49.9406
20190811_181657,-58.484,49.9361
20190811_185744,-58.4896,49.932
20190811_194728,-58.4963,49.927
20190811_202854,-58.5,49.9236
20190811_211719,-58.5047,49.92
20190811_220212,-58.5104,49.9159
20190811_225206,-58.5169,49.9114
20190811_233227,-58.5221,49.9077
20190812_002801,-58.5271,49.9031
20190812_012341,-58.5341,49.8982
20190812_020624,-58.5407,49.8941
20190812_025440,-58.5481,49.8895
20190812_033411,-58.5541,49.8857
20190812_042623,-58.5609,49.881
20190812_052156,-58.5607,49.8756
20190812_060957,-58.5604,49.8697
20190812_065345,-58.5602,49.8643
20190812_073822,-58.5599,49.8588
20190812_082302,-58.5584,49.8549
20190812_091502,-58.5563,49.8498
20190812_100144,-58.5545,49.8446
20190812_103848,-58.553,49.8406
20190812_111852,-58.5515,49.8361
20190812_115758,-58.5499,49.8318
20190812_122343,-58.5472,49.8298
20190812_131629,-58.5478,49.8232
20190812_140340,-58.5493,49.8171
20190812_144216,-58.5506,49.8122
20190812_153002,-58.5522,49.806
20190812_161751,-58.5522,49.7998
20190812_170859,-58.5509,49.7933
20190812_175520,-58.5495,49.7871
20190812_183806,-58.5482,49.7814
20190812_191714,-58.547,49.7762
20190812_195519,-58.5458,49.7712
20190812_202656,-58.5447,49.7682
20190812_211013,-58.5432,49.764
20190812_214606,-58.5419,49.7602
20190812_222322,-58.5405,49.7563
20190812_225436,-58.5394,49.753
20190812_233115,-58.5381,49.7491
20190812_235855,-58.5371,49.7461
20190813_002433,-58.5343,49.7448
20190813_005500,-58.5354,49.7419
20190813_012156,-58.537,49.7387
20190813_014825,-58.5385,49.7355
20190813_021417,-58.54,49.7324
20190813_024021,-58.5415,49.7293
20190813_030726,-58.5431,49.7261
20190813_033350,-58.5446,49.723
20190813_040030,-58.5462,49.7198
20190813_042351,-58.5449,49.7172
20190813_045716,-58.5433,49.7134
20190813_052711,-58.5425,49.7101
20190813_055427,-58.5417,49.707
20190813_062037,-58.5409,49.7041
20190813_064750,-58.5402,49.7011
20190813_071610,-58.5393,49.6979
20190813_074232,-58.5386,49.695
20190813_080712,-58.5379,49.6923
20190813_082017,-58.5373,49.6909
20190813_084805,-58.5313,49.6887
20190813_091237,-58.5259,49.6867
20190813_093516,-58.5209,49.6849
20190813_095648,-58.5162,49.6831
20190813_101901,-58.5112,49.6813
20190813_104059,-58.5064,49.6795
20190813_110144,-58.5018,49.6779
20190813_112321,-58.497,49.6761
20190813_114337,-58.4926,49.6744
20190813_120404,-58.488,49.6728
20190813_122301,-58.4851,49.6723
20190813_125203,-58.4823,49.6699
20190813_131430,-58.4803,49.667
20190813_133436,-58.4785,49.6644
20190813_135449,-58.4767,49.6618
20190813_141418,-58.475,49.6593
20190813_143316,-58.4733,49.6569
20190813_145155,-58.4717,49.6545
20190813_151018,-58.47,49.6521
20190813_152808,-58.4684,49.6499
20190813_154701,-58.4668,49.6474
20190813_160527,-58.4651,49.6451
20190813_162144,-58.4633,49.6445
20190813_164454,-58.4595,49.643
20190813_170455,-58.4562,49.641
20190813_172434,-58.453,49.6391
20190813_174403,-58.4498,49.6372
20190813_180216,-58.4468,49.6355
20190813_182005,-58.4439,49.6338
20190813_183837,-58.4409,49.632
20190813_185717,-58.4378,49.6302
20190813_191453,-58.4349,49.6285
20190813_193246,-58.432,49.6267
20190813_195024,-58.4291,49.625
20190813_200750,-58.4262,49.6233
20190813_204219,-58.4196,49.6236
20190813_210335,-58.4149,49.6242
20190813_212014,-58.4105,49.6248
20190813_213703,-58.406,49.6254
20190813_215243,-58.4018,49.6259
20190813_221016,-58.3972,49.6265
20190813_222737,-58.3926,49.6271
20190813_224421,-58.3881,49.6276
20190813_230127,-58.3836,49.6282
20190813_231908,-58.3789,49.6288
20190813_233604,-58.3744,49.6294
20190813_235255,-58.37,49.6299
20190814_001021,-58.3653,49.6305
20190814_002659,-58.3609,49.6311
20190814_005151,-58.3563,49.6318
20190814_011352,-58.3534,49.6309
20190814_013129,-58.3501,49.6302
20190814_014831,-58.3469,49.6294
20190814_020521,-58.3438,49.6286
20190814_022235,-58.3406,49.6279
20190814_023858,-58.3375,49.6271
20190814_025537,-58.3344,49.6264
20190814_031256,-58.3312,49.6256
20190814_033008,-58.328,49.6249
20190814_035107,-58.3285,49.626
20190814_041042,-58.3264,49.6256
20190814_042701,-58.3239,49.6249
20190814_045010,-58.3216,49.6247
20190814_051047,-58.3187,49.6248
20190814_052759,-58.3158,49.6248
20190814_054422,-58.3131,49.6247
20190814_060058,-58.3103,49.6247
20190814_061714,-58.3076,49.6246
20190814_063310,-58.3049,49.6245
20190814_064914,-58.3022,49.6245
20190814_070434,-58.2996,49.6244
20190814_071920,-58.2971,49.6244
20190814_073941,-58.2942,49.625
20190814_075732,-58.2923,49.6247
20190814_081238,-58.2906,49.624
20190814_082751,-58.2889,49.6233
20190814_084108,-58.2875,49.6227
20190814_084853,-58.2867,49.6231
20190814_091125,-58.2845,49.6245
20190814_092320,-58.2832,49.6246
20190814_093442,-58.282,49.6246
20190814_094515,-58.2808,49.6247
20190814_100306,-58.2789,49.6248
20190814_101205,-58.2779,49.6248
20190814_101946,-58.277,49.6249
20190814_102820,-58.2761,49.6249
20190814_103506,-58.2754,49.625
20190814_104244,-58.2745,49.625
20190814_104926,-58.2738,49.625
20190814_105634,-58.273,49.6251
20190814_110352,-58.2722,49.6251
20190814_111034,-58.2715,49.6252
20190814_111641,-58.2708,49.6252
20190814_112317,-58.2701,49.6252
20190814_112941,-58.2694,49.6253
20190814_113615,-58.2687,49.6253
20190814_114251,-58.268,49.6253
20190814_114914,-58.2673,49.6254
20190814_115537,-58.2666,49.6254
20190814_120225,-58.2658,49.6255
20190814_120839,-58.2652,49.6255
20190814_121453,-58.2645,49.6255
20190814_122114,-58.2638,49.6256
20190814_122723,-58.2631,49.6256
20190814_123411,-58.2624,49.6256
20190814_124006,-58.2617,49.6257
20190814_125052,-58.2619,49.626
20190814_130027,-58.2625,49.6262
20190814_130723,-58.2629,49.626
20190814_131404,-58.2633,49.6258
20190814_131953,-58.2636,49.6256
20190814_133247,-58.2644,49.6252
20190814_133909,-58.2648,49.625
20190814_134531,-58.2652,49.6248
20190814_135214,-58.2656,49.6246
20190814_135244,-58.2656,49.6246
20190814_135841,-58.266,49.6244
20190814_140513,-58.2663,49.6242
20190814_141221,-58.2668,49.624
20190814_141842,-58.2671,49.6238
20190814_142527,-58.2675,49.6236
20190814_143240,-58.268,49.6234
20190814_143918,-58.2684,49.6232
20190814_144526,-58.2687,49.623
20190814_145230,-58.2691,49.6228
20190814_145904,-58.2695,49.6226
20190814_150507,-58.2699,49.6224
20190814_151218,-58.2703,49.6221
20190814_151824,-58.2707,49.6219
20190814_152512,-58.2711,49.6217
20190814_153158,-58.2715,49.6215
20190814_153825,-58.2719,49.6213
20190814_154509,-58.2723,49.6211
20190814_155203,-58.2727,49.6209
20190814_155854,-58.2731,49.6207
20190814_160617,-58.2735,49.6205
20190814_161228,-58.2739,49.6203
20190814_161946,-58.2743,49.62
20190814_162550,-58.2747,49.6198
20190814_163225,-58.2751,49.6196
20190814_163936,-58.2755,49.6194
20190814_165618,-58.278,49.6203
20190814_170716,-58.2779,49.6203
20190814_171535,-58.2772,49.6199
20190814_172219,-58.2766,49.6195
20190814_172915,-58.276,49.6191
20190814_173624,-58.2754,49.6187
20190814_174236,-58.2748,49.6184
20190814_174903,-58.2743,49.618
20190814_175528,-58.2737,49.6177
20190814_180141,-58.2732,49.6174
20190814_180743,-58.2727,49.617
20190814_181336,-58.2722,49.6167
20190814_181946,-58.2717,49.6164
20190814_182544,-58.2711,49.616
20190814_183142,-58.2706,49.6157
20190814_183739,-58.2701,49.6154
20190814_184354,-58.2696,49.6151
20190814_184959,-58.2691,49.6147
20190814_185609,-58.2685,49.6144
20190814_190158,-58.268,49.6141
20190814_190759,-58.2675,49.6137
20190814_191349,-58.267,49.6134
20190814_191959,-58.2665,49.6131
20190814_192549,-58.266,49.6128
20190814_193158,-58.2655,49.6124
20190814_193752,-58.265,49.6121
20190814_194358,-58.2644,49.6118
20190814_194948,-58.2639,49.6115
20190814_195602,-58.2634,49.6111
20190814_200155,-58.2629,49.6108
20190814_200805,-58.2624,49.6105
20190814_201408,-58.2618,49.6101
20190814_202042,-58.2613,49.6098
20190814_202616,-58.2608,49.6095
20190814_203238,-58.2603,49.6091
20190814_203932,-58.2597,49.6088
20190814_204554,-58.2591,49.6084
20190814_205220,-58.2586,49.6081
20190814_210556,-58.2579,49.6081
20190814_211456,-58.2561,49.6081
20190814_212204,-58.2542,49.6081
20190814_212822,-58.2526,49.6082
20190814_213413,-58.251,49.6082
20190814_214112,-58.2492,49.6082
20190814_214704,-58.2476,49.6083
20190814_215342,-58.2459,49.6083
20190814_220029,-58.2441,49.6083
20190814_220748,-58.2422,49.6083
20190814_221400,-58.2405,49.6084
20190814_222119,-58.2386,49.6084
20190814_222743,-58.2369,49.6084
20190814_223459,-58.235,49.6085
20190814_224215,-58.2331,49.6085
20190814_225000,-58.231,49.6085
20190814_225640,-58.2293,49.6086
20190814_230419,-58.2272,49.6086
20190814_231125,-58.2254,49.6086
20190814_231829,-58.2235,49.6086
20190814_232509,-58.2217,49.6087
20190814_233213,-58.2199,49.6087
20190814_233926,-58.218,49.6087
20190814_234708,-58.2159,49.6088
20190814_235530,-58.2137,49.6088
20190815_000318,-58.2117,49.6088
20190815_001128,-58.2095,49.6089
20190815_001936,-58.2074,49.6089
20190815_002811,-58.2051,49.6089
20190815_003704,-58.2027,49.609
20190815_004544,-58.2005,49.609
20190815_005455,-58.198,49.6091
20190815_010421,-58.1961,49.6095
20190815_011600,-58.1944,49.6093
20190815_012612,-58.1928,49.6087
20190815_013520,-58.1914,49.6083
20190815_014427,-58.19,49.6078
20190815_015258,-58.1887,49.6074
20190815_020300,-58.1872,49.6069
20190815_021307,-58.1856,49.6063
20190815_022302,-58.1841,49.6058
20190815_023225,-58.1826,49.6053
20190815_024119,-58.1813,49.6049
20190815_025115,-58.1798,49.6044
20190815_030112,-58.1782,49.6039
20190815_031221,-58.1765,49.6033
20190815_032336,-58.1748,49.6027
20190815_033519,-58.173,49.6021
20190815_034719,-58.1711,49.6015
20190815_040113,-58.169,49.6008
20190815_041516,-58.1669,49.6001
20190815_042828,-58.1648,49.5994
20190815_044228,-58.1627,49.5987
20190815_045532,-58.1607,49.598
20190815_050343,-58.1594,49.5982
20190815_052636,-58.1552,49.5979
20190815_054035,-58.1525,49.5974
20190815_055426,-58.1497,49.597
20190815_060818,-58.1469,49.5965
20190815_062145,-58.1442,49.5961
20190815_063634,-58.1413,49.5956
20190815_065009,-58.1386,49.5951
20190815_070356,-58.1358,49.5947
20190815_071805,-58.133,49.5942
20190815_073239,-58.1301,49.5938
20190815_074454,-58.1285,49.5937
20190815_080346,-58.1245,49.5933
20190815_082044,-58.1203,49.5927
20190815_083719,-58.1162,49.5922
20190815_085357,-58.1121,49.5916
20190815_090527,-58.1103,49.5916
20190815_092549,-58.1051,49.5911
20190815_094433,-58.1001,49.5905
20190815_100302,-58.0951,49.5898
20190815_102255,-58.0898,49.589
20190815_104245,-58.0845,49.5883
20190815_110156,-58.0793,49.5876
20190815_112112,-58.0742,49.5869
20190815_114028,-58.069,49.5862
20190815_115949,-58.0639,49.5854
20190815_121822,-58.0589,49.5848
20190815_123721,-58.0538,49.5841
20190815_130622,-58.0481,49.584
20190815_133027,-58.0433,49.5835
20190815_135034,-58.0387,49.5828
20190815_141115,-58.034,49.582
20190815_143107,-58.0295,49.5813
20190815_145112,-58.025,49.5806
20190815_151126,-58.0204,49.5798
20190815_153425,-58.0152,49.579
20190815_155800,-58.0098,49.5781
20190815_162208,-58.0044,49.5772
20190815_163708,-58.0016,49.5769
20190815_171454,-57.996,49.5754
20190815_174601,-57.9889,49.574
20190815_181341,-57.9824,49.5726
20190815_184303,-57.9755,49.5711
20190815_191257,-57.9685,49.5696
20190815_194241,-57.9615,49.5681
20190815_201142,-57.9546,49.5667
20190815_203921,-57.9481,49.5653
20190815_210833,-57.9413,49.5638
